,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
211,pao,1.3273972602739728,73.0,0.08040019731041638,2021-06-01,96.9,1.43,0.10260273972602718,CO,0.136194595608932
212,pica-pau,5.752209302325581,516.0,0.04929059222277699,2019-06-01,2968.14,6.04,0.2877906976744189,CO,1.6554323282855614
213,picanha prato,9.734499349804942,769.0,0.05597142170792282,2019-06-01,7485.83,10.28,0.5455006501950574,CO,5.31017572464196
214,prego entrecote,6.637196969696969,396.0,0.07410859471851618,2016-06-01,2628.33,7.13,0.49280303030303063,CO,3.2708307793847586
215,prego lombo,6.637207920792079,505.0,0.058112974118516104,2017-06-01,3351.79,7.02,0.38279207920792047,CO,2.5406706201352787
216,prego maminha,5.486696696696696,333.0,0.07285272106459635,2017-06-01,1827.0699999999997,5.89,0.40330330330330355,CO,2.2128029020011013
217,prego picanha,5.486717557251908,262.0,0.09259560439487735,2019-06-01,1437.52,5.99,0.503282442748092,CO,2.7613686148825844
218,prego secretos,5.486698113207548,106.0,0.22886756960140836,2016-06-01,581.59,6.74,1.2533018867924524,CO,6.876489097543608
219,prego vazia,6.194698275862069,232.0,0.11806229766433803,2018-06-01,1437.17,6.93,0.7353017241379307,CO,4.5549723227556465
220,salada mista,1.3273990306946688,619.0,0.009481780665178427,2019-06-01,821.66,1.34,0.012600969305331278,CO,0.016726514441710014
221,secretos prato,9.734479166666667,192.0,0.224176739852653,2019-06-01,1869.02,11.92,2.1855208333333334,CO,21.274907020399304
222,vazia prato,10.619504504504505,444.0,0.10575486156953214,2017-06-01,4715.06,11.74,1.1204954954954953,CO,11.89910696169142
223,batata wedge,1.3273990802248339,1957.0,0.0029990916968563237,2018-07-01,2597.72,1.33,0.0026009197751661883,CO,0.00345245851729418
224,chuleton prato,15.044166666666667,96.0,0.6929086147067353,2017-07-01,1444.24,25.47,10.425833333333332,CO,156.84797430555554
225,costeletas de borrego prato,11.504392523364487,428.0,0.11884994358175997,2017-07-01,4923.88,12.87,1.3656074766355122,CO,15.71048444405623
226,entrecote prato,11.504396284829722,1292.0,0.0393713564122855,2022-07-01,14863.680000000002,11.96,0.45560371517027853,CO,5.241445688159572
227,lombo prato,11.504400494437578,809.0,0.0628773931988357,2016-07-01,9307.06,12.23,0.7255995055624229,CO,8.347587310556
228,maminha prato,9.734495912806539,734.0,0.058640338005959525,2017-07-01,7145.119999999999,10.31,0.5755040871934618,CO,5.602242184588212
229,pao,1.3273873873873874,111.0,0.052875412159861766,2019-07-01,147.34,1.4,0.07261261261261254,CO,0.09638506614722821
230,pica-pau,5.752206654991244,571.0,0.044542791386182196,2019-07-01,3284.51,6.01,0.25779334500875617,CO,1.4828805947718209
231,picanha prato,9.734505376344087,930.0,0.04628177412936985,2016-07-01,9053.09,10.19,0.45549462365591253,CO,4.4340148628743075
232,prego entrecote,6.637209775967413,491.0,0.059769979903638394,2019-07-01,3258.87,7.03,0.3927902240325869,CO,2.607031114853516
233,prego lombo,6.637197106690778,553.0,0.0530687235339307,2018-07-01,3670.37,6.99,0.35280289330922265,CO,2.341622342704108
234,prego maminha,5.486708229426434,401.0,0.06049877084185075,2017-07-01,2200.17,5.82,0.33329177057356585,CO,1.8286747004060908
235,prego picanha,5.4867010309278355,291.0,0.0833676126416825,2019-07-01,1596.63,5.94,0.45329896907216494,CO,2.4871159209267724
236,prego secretos,5.486666666666666,87.0,0.2788485440672438,2022-07-01,477.34,7.02,1.5333333333333332,CO,8.412888888888888
237,prego vazia,6.19469387755102,245.0,0.11179768820641602,2020-07-01,1517.7,6.89,0.6953061224489794,CO,4.3072085797584325
238,salada mista,1.3274057971014492,690.0,0.008506162536322515,2022-07-01,915.91,1.34,0.012594202898550844,CO,0.016717617937408266
239,secretos prato,9.734505928853755,253.0,0.17012668926200988,2016-07-01,2462.83,11.39,1.6554940711462454,CO,16.115416850755366
240,vazia prato,10.619508506616258,529.0,0.08876214788770047,2022-07-01,5617.72,11.56,0.9404914933837425,CO,9.987557414388881
